J,h,magnetization_density
0.735,2.204,0.010210
0.735,2.265,0.010758
0.735,2.327,0.011136
0.735,2.388,0.011482
0.735,2.449,0.011768
0.735,2.510,0.013394
0.735,2.571,0.013880
0.735,2.633,0.014202
0.735,2.694,0.011990
0.735,2.755,0.012386
0.735,2.816,0.012836
0.735,2.878,0.013220
0.735,2.939,0.013758
0.735,3.000,0.017340
0.796,0.000,0.001746
0.796,0.061,0.002014
0.796,0.122,0.002022
0.796,0.184,0.001984
0.796,0.245,0.002168
0.796,0.306,0.002326
0.796,0.367,0.000554
0.796,0.429,0.000634
0.796,0.490,0.000884
0.796,0.551,0.000868
0.796,0.612,0.001014
0.796,0.673,0.000972
0.796,0.735,0.002928
0.796,0.796,0.003194
0.796,0.857,0.003580
0.796,0.918,0.003988
0.796,0.980,0.003558
0.796,1.041,0.003836
0.796,1.102,0.003912
0.796,1.163,0.004264
0.796,1.224,0.005844
0.796,1.286,0.006080
0.796,1.347,0.006452
0.796,1.408,0.006396
0.796,1.469,0.006078
0.796,1.531,0.006506
0.796,1.592,0.007084
0.796,1.653,0.006028
0.796,1.714,0.006504
0.796,1.776,0.006922
0.796,1.837,0.007232
0.796,1.898,0.007726
0.796,1.959,0.008264
0.796,2.020,0.007064
0.796,2.082,0.007522
0.796,2.143,0.007732
0.796,2.204,0.008212
0.796,2.265,0.009312
0.796,2.327,0.009974
0.796,2.388,0.010350
0.796,2.449,0.010784
0.796,2.510,0.012818
0.796,2.571,0.013260
0.796,2.633,0.013606
0.796,2.694,0.014048
0.796,2.755,0.014764
0.796,2.816,0.015578
0.796,2.878,0.016388
0.796,2.939,0.016930
0.796,3.000,0.017334
0.857,0.000,0.000966
0.857,0.061,0.001176
0.857,0.122,0.001054
0.857,0.184,0.001288
0.857,0.245,0.001372
0.857,0.306,0.001626
0.857,0.367,0.001808
0.857,0.429,0.001816
0.857,0.490,0.001286
0.857,0.551,0.001556
0.857,0.612,0.001698
0.857,0.673,0.001656
0.857,0.735,0.002410
0.857,0.796,0.003078
0.857,0.857,0.003390
0.857,0.918,0.003650
0.857,0.980,0.004264
0.857,1.041,0.004820
0.857,1.102,0.005020
0.857,1.163,0.004342
0.857,1.224,0.004796
0.857,1.286,0.005076
0.857,1.347,0.005252
0.857,1.408,0.005432
0.857,1.469,0.005344
0.857,1.531,0.005774
0.857,1.592,0.006822
0.857,1.653,0.007198
0.857,1.714,0.007516
0.857,1.776,0.007974
0.857,1.837,0.008122
0.857,1.898,0.008452
0.857,1.959,0.008778
0.857,2.020,0.008774
0.857,2.082,0.009488
0.857,2.143,0.010118
0.857,2.204,0.010522
0.857,2.265,0.010862
0.857,2.327,0.011398
0.857,2.388,0.012088
0.857,2.449,0.012974
0.857,2.510,0.013466
0.857,2.571,0.014068
0.857,2.633,0.014660
0.857,2.694,0.015114
0.857,2.755,0.015730
0.857,2.816,0.016366
